Committee on Appropriations,https://www.govinfo.gov/content/pkg/CHRG-118shrg39104017/pdf/CHRG-118shrg39104017.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg39104025/pdf/CHRG-118shrg39104025.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg54413/pdf/CHRG-118shrg54413.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg39104986/pdf/CHRG-118shrg39104986.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg54414/pdf/CHRG-118shrg54414.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg39104006/pdf/CHRG-118shrg39104006.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg49104033/pdf/CHRG-118shrg49104033.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg49104035/pdf/CHRG-118shrg49104035.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg49104034/pdf/CHRG-118shrg49104034.pdf,,,,,,,,,,,,,
Committee on Environment and Public Works,https://www.govinfo.gov/content/pkg/CHRG-118shrg52297/pdf/CHRG-118shrg52297.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52512/pdf/CHRG-118shrg52512.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53001/pdf/CHRG-118shrg53001.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52811/pdf/CHRG-118shrg52811.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53151/pdf/CHRG-118shrg53151.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg54321/pdf/CHRG-118shrg54321.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53256/pdf/CHRG-118shrg53256.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53348/pdf/CHRG-118shrg53348.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53890/pdf/CHRG-118shrg53890.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53731/pdf/CHRG-118shrg53731.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg54124/pdf/CHRG-118shrg54124.pdf,,,,,,,,,,,
Committee on Foreign Relations,https://www.govinfo.gov/content/pkg/CHRG-118shrg52759/pdf/CHRG-118shrg52759.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg54410/pdf/CHRG-118shrg54410.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52836/pdf/CHRG-118shrg52836.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53433/pdf/CHRG-118shrg53433.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52837/pdf/CHRG-118shrg52837.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52967/pdf/CHRG-118shrg52967.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53279/pdf/CHRG-118shrg53279.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52968/pdf/CHRG-118shrg52968.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53434/pdf/CHRG-118shrg53434.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53436/pdf/CHRG-118shrg53436.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53054/pdf/CHRG-118shrg53054.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53280/pdf/CHRG-118shrg53280.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53053/pdf/CHRG-118shrg53053.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53153/pdf/CHRG-118shrg53153.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53152/pdf/CHRG-118shrg53152.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53193/pdf/CHRG-118shrg53193.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53198/pdf/CHRG-118shrg53198.pdf,,,,,
"Committee on Health, Education, Labor, and Pensions",https://www.govinfo.gov/content/pkg/CHRG-118shrg54460/pdf/CHRG-118shrg54460.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg54461/pdf/CHRG-118shrg54461.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg54462/pdf/CHRG-118shrg54462.pdf,,,,,,,,,,,,,,,,,,,
Committee on Homeland Security and Governmental Affairs,https://www.govinfo.gov/content/pkg/CHRG-118shrg52482/pdf/CHRG-118shrg52482.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52483/pdf/CHRG-118shrg52483.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52484/pdf/CHRG-118shrg52484.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52496/pdf/CHRG-118shrg52496.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52497/pdf/CHRG-118shrg52497.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52782/pdf/CHRG-118shrg52782.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52783/pdf/CHRG-118shrg52783.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52435/pdf/CHRG-118shrg52435.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52784/pdf/CHRG-118shrg52784.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52437/pdf/CHRG-118shrg52437.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52438/pdf/CHRG-118shrg52438.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52786/pdf/CHRG-118shrg52786.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52787/pdf/CHRG-118shrg52787.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53755/pdf/CHRG-118shrg53755.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53993/pdf/CHRG-118shrg53993.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53706/pdf/CHRG-118shrg53706.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53703/pdf/CHRG-118shrg53703.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53707/pdf/CHRG-118shrg53707.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53708/pdf/CHRG-118shrg53708.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53709/pdf/CHRG-118shrg53709.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53995/pdf/CHRG-118shrg53995.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53996/pdf/CHRG-118shrg53996.pdf
Committee on Indian Affairs,https://www.govinfo.gov/content/pkg/CHRG-118shrg51921/pdf/CHRG-118shrg51921.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52563/pdf/CHRG-118shrg52563.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53481/pdf/CHRG-118shrg53481.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53617/pdf/CHRG-118shrg53617.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg54148/pdf/CHRG-118shrg54148.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg54210/pdf/CHRG-118shrg54210.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg54473/pdf/CHRG-118shrg54473.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg54782/pdf/CHRG-118shrg54782.pdf,,,,,,,,,,,,,,
Committee on Rules and Administration,https://www.govinfo.gov/content/pkg/CHRG-118shrg51765/pdf/CHRG-118shrg51765.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52351/pdf/CHRG-118shrg52351.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52827/pdf/CHRG-118shrg52827.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53678/pdf/CHRG-118shrg53678.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg54370/pdf/CHRG-118shrg54370.pdf,,,,,,,,,,,,,,,,,
Committee on Small Business and Entrepreneurship,https://www.govinfo.gov/content/pkg/CHRG-118shrg53223/pdf/CHRG-118shrg53223.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53224/pdf/CHRG-118shrg53224.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53225/pdf/CHRG-118shrg53225.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53226/pdf/CHRG-118shrg53226.pdf,,,,,,,,,,,,,,,,,,
Committee on Veterans' Affairs,https://www.govinfo.gov/content/pkg/CHRG-118shrg53727/pdf/CHRG-118shrg53727.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53821/pdf/CHRG-118shrg53821.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53822/pdf/CHRG-118shrg53822.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg54223/pdf/CHRG-118shrg54223.pdf,,,,,,,,,,,,,,,,,,
Committee on the Budget,https://www.govinfo.gov/content/pkg/CHRG-118shrg51948/pdf/CHRG-118shrg51948.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg54147/pdf/CHRG-118shrg54147.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg51949/pdf/CHRG-118shrg51949.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52110/pdf/CHRG-118shrg52110.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52111/pdf/CHRG-118shrg52111.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg54146/pdf/CHRG-118shrg54146.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53107/pdf/CHRG-118shrg53107.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53163/pdf/CHRG-118shrg53163.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53164/pdf/CHRG-118shrg53164.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53165/pdf/CHRG-118shrg53165.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53166/pdf/CHRG-118shrg53166.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53194/pdf/CHRG-118shrg53194.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53195/pdf/CHRG-118shrg53195.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53196/pdf/CHRG-118shrg53196.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53197/pdf/CHRG-118shrg53197.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53230/pdf/CHRG-118shrg53230.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53231/pdf/CHRG-118shrg53231.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53232/pdf/CHRG-118shrg53232.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53785/pdf/CHRG-118shrg53785.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53786/pdf/CHRG-118shrg53786.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53787/pdf/CHRG-118shrg53787.pdf,
Committee on the Judiciary,https://www.govinfo.gov/content/pkg/CHRG-118shrg52250/pdf/CHRG-118shrg52250.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52253/pdf/CHRG-118shrg52253.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52654/pdf/CHRG-118shrg52654.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52885/pdf/CHRG-118shrg52885.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53114/pdf/CHRG-118shrg53114.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52706/pdf/CHRG-118shrg52706.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52707/pdf/CHRG-118shrg52707.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52708/pdf/CHRG-118shrg52708.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52709/pdf/CHRG-118shrg52709.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52710/pdf/CHRG-118shrg52710.pdf,,,,,,,,,,,,
Select Committee on Intelligence,https://www.govinfo.gov/content/pkg/CHRG-118shrg52501/pdf/CHRG-118shrg52501.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52514/pdf/CHRG-118shrg52514.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53313/pdf/CHRG-118shrg53313.pdf,,,,,,,,,,,,,,,,,,,
Special Committee on Aging,https://www.govinfo.gov/content/pkg/CHRG-118shrg51747/pdf/CHRG-118shrg51747.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52240/pdf/CHRG-118shrg52240.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52564/pdf/CHRG-118shrg52564.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg52780/pdf/CHRG-118shrg52780.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53203/pdf/CHRG-118shrg53203.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53321/pdf/CHRG-118shrg53321.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg53747/pdf/CHRG-118shrg53747.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg54248/pdf/CHRG-118shrg54248.pdf,https://www.govinfo.gov/content/pkg/CHRG-118shrg54249/pdf/CHRG-118shrg54249.pdf,,,,,,,,,,,,,