bill,yea,nay,no vote
"H.R. 815: National Security Act, 2024 ","Van Hollen, Chris; Coons, Christopher; Fetterman, John; King, Angus; Rounds, Mike; Casey, Bob; Moran, Jerry; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Crapo, Mike; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Collins, Susan; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Sullivan, Dan; Capito, Shelley; Kennedy, John Neely; Cornyn, John; Cardin, Benjamin; Cantwell, Maria; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Murkowski, Lisa; Kaine, Tim; Blumenthal, Richard; Shaheen, Jeanne; Grassley, Chuck; Risch, James; Cassidy, Bill; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Romney, Mitt; Tester, Jon; Boozman, John; McConnell, Mitch; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Wicker, Roger; Luján, Ben; Young, Todd; Tillis, Thom; Cramer, Kevin; Hoeven, John; Thune, John; Sinema, Kyrsten; Manchin, Joe; Heinrich, Martin; Whitehouse, Sheldon; Ernst, Joni; Murphy, Christopher; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Schmitt, Eric; Rubio, Marco; Vance, J.D. (James); Graham, Lindsey; Cotton, Tom; Braun, Mike; Blackburn, Marsha; Hawley, Josh; Barrasso, John; Paul, Rand; Johnson, Ron; Tuberville, Tommy; Scott, Tim; Daines, Steve; Lee, Mike; Hagerty, Bill; Welch, Peter; Scott, Rick; Cruz, Ted; Hyde-Smith, Cindy; Britt, Katie; Budd, Ted; Merkley, Jeff; Mullin, Markwayne; Fischer, Deb; Ricketts, Pete; Marshall, Roger; Lankford, James; Sanders, Bernie","Lummis, Cynthia"
Motion to Invoke Cloture Re: H.R. 815 ,"Van Hollen, Chris; Coons, Christopher; Fetterman, John; King, Angus; Rounds, Mike; Casey, Bob; Moran, Jerry; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Collins, Susan; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Sullivan, Dan; Capito, Shelley; Kennedy, John Neely; Cornyn, John; Cardin, Benjamin; Cantwell, Maria; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Welch, Peter; Murkowski, Lisa; Kaine, Tim; Blumenthal, Richard; Shaheen, Jeanne; Grassley, Chuck; Cassidy, Bill; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Romney, Mitt; Tester, Jon; McConnell, Mitch; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Wicker, Roger; Luján, Ben; Young, Todd; Tillis, Thom; Thune, John; Manchin, Joe; Sinema, Kyrsten; Heinrich, Martin; Whitehouse, Sheldon; Ernst, Joni; Murphy, Christopher; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Schmitt, Eric; Rubio, Marco; Vance, J.D. (James); Graham, Lindsey; Cotton, Tom; Braun, Mike; Crapo, Mike; Blackburn, Marsha; Hawley, Josh; Barrasso, John; Paul, Rand; Johnson, Ron; Tuberville, Tommy; Scott, Tim; Daines, Steve; Lee, Mike; Hagerty, Bill; Scott, Rick; Cruz, Ted; Hyde-Smith, Cindy; Risch, James; Britt, Katie; Budd, Ted; Boozman, John; Merkley, Jeff; Cramer, Kevin; Mullin, Markwayne; Hoeven, John; Fischer, Deb; Ricketts, Pete; Marshall, Roger; Lankford, James; Sanders, Bernie","Lummis, Cynthia"
S.Amdt. 1388 (Murray) to H.R. 815: In the nature of a substitute. ,"Van Hollen, Chris; Coons, Christopher; Fetterman, John; King, Angus; Rounds, Mike; Casey, Bob; Moran, Jerry; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Collins, Susan; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Sullivan, Dan; Capito, Shelley; Kennedy, John Neely; Cornyn, John; Cardin, Benjamin; Cantwell, Maria; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Welch, Peter; Murkowski, Lisa; Kaine, Tim; Blumenthal, Richard; Shaheen, Jeanne; Grassley, Chuck; Cassidy, Bill; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Romney, Mitt; Tester, Jon; McConnell, Mitch; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Wicker, Roger; Luján, Ben; Young, Todd; Tillis, Thom; Thune, John; Manchin, Joe; Sinema, Kyrsten; Heinrich, Martin; Whitehouse, Sheldon; Ernst, Joni; Murphy, Christopher; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Schmitt, Eric; Rubio, Marco; Vance, J.D. (James); Graham, Lindsey; Cotton, Tom; Braun, Mike; Crapo, Mike; Blackburn, Marsha; Hawley, Josh; Barrasso, John; Paul, Rand; Johnson, Ron; Tuberville, Tommy; Scott, Tim; Daines, Steve; Lee, Mike; Hagerty, Bill; Scott, Rick; Cruz, Ted; Hyde-Smith, Cindy; Risch, James; Britt, Katie; Budd, Ted; Boozman, John; Merkley, Jeff; Cramer, Kevin; Mullin, Markwayne; Hoeven, John; Fischer, Deb; Ricketts, Pete; Marshall, Roger; Lankford, James; Sanders, Bernie","Lummis, Cynthia"
On the Motion (Motion to Waive All Applicable Budgetary Discipline During the Consideration of H.R. 815) ,"Van Hollen, Chris; Coons, Christopher; Fetterman, John; King, Angus; Rounds, Mike; Casey, Bob; Moran, Jerry; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Collins, Susan; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Sullivan, Dan; Capito, Shelley; Kennedy, John Neely; Cornyn, John; Cardin, Benjamin; Cantwell, Maria; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Welch, Peter; Murkowski, Lisa; Kaine, Tim; Blumenthal, Richard; Shaheen, Jeanne; Cassidy, Bill; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Romney, Mitt; Tester, Jon; McConnell, Mitch; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Wicker, Roger; Luján, Ben; Young, Todd; Tillis, Thom; Merkley, Jeff; Thune, John; Manchin, Joe; Sinema, Kyrsten; Heinrich, Martin; Whitehouse, Sheldon; Ernst, Joni; Murphy, Christopher; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Schmitt, Eric; Rubio, Marco; Vance, J.D. (James); Graham, Lindsey; Cotton, Tom; Braun, Mike; Crapo, Mike; Blackburn, Marsha; Hawley, Josh; Barrasso, John; Paul, Rand; Johnson, Ron; Tuberville, Tommy; Scott, Tim; Daines, Steve; Lee, Mike; Hagerty, Bill; Scott, Rick; Cruz, Ted; Hyde-Smith, Cindy; Grassley, Chuck; Risch, James; Britt, Katie; Budd, Ted; Boozman, John; Cramer, Kevin; Mullin, Markwayne; Hoeven, John; Fischer, Deb; Ricketts, Pete; Marshall, Roger; Lankford, James; Sanders, Bernie","Lummis, Cynthia"
Motion to Invoke Cloture Re: Murray Amdt. No. 1388 to H.R. 815 ,"Van Hollen, Chris; Coons, Christopher; Fetterman, John; King, Angus; Rounds, Mike; Casey, Bob; Moran, Jerry; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Collins, Susan; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Sullivan, Dan; Capito, Shelley; Kennedy, John Neely; Cornyn, John; Cardin, Benjamin; Cantwell, Maria; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Welch, Peter; Murkowski, Lisa; Kaine, Tim; Blumenthal, Richard; Shaheen, Jeanne; Grassley, Chuck; Cassidy, Bill; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Romney, Mitt; Tester, Jon; McConnell, Mitch; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Wicker, Roger; Luján, Ben; Mullin, Markwayne; Young, Todd; Tillis, Thom; Merkley, Jeff; Thune, John; Manchin, Joe; Sinema, Kyrsten; Heinrich, Martin; Whitehouse, Sheldon; Ernst, Joni; Murphy, Christopher; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Schmitt, Eric; Rubio, Marco; Vance, J.D. (James); Graham, Lindsey; Cotton, Tom; Crapo, Mike; Blackburn, Marsha; Hawley, Josh; Barrasso, John; Paul, Rand; Johnson, Ron; Tuberville, Tommy; Scott, Tim; Daines, Steve; Lee, Mike; Hagerty, Bill; Cruz, Ted; Hyde-Smith, Cindy; Britt, Katie; Budd, Ted; Boozman, John; Hoeven, John; Fischer, Deb; Ricketts, Pete; Marshall, Roger; Lankford, James; Sanders, Bernie","Scott, Rick; Cramer, Kevin; Warnock, Raphael; Lummis, Cynthia; Risch, James; Braun, Mike"
On the Motion to Table H.R. 815 ,"Schmitt, Eric; Rubio, Marco; Rounds, Mike; Moran, Jerry; Graham, Lindsey; Cotton, Tom; Crapo, Mike; Blackburn, Marsha; Hawley, Josh; Barrasso, John; Paul, Rand; Johnson, Ron; Tuberville, Tommy; Scott, Tim; Collins, Susan; Daines, Steve; Sullivan, Dan; Capito, Shelley; Kennedy, John Neely; Cornyn, John; Lee, Mike; Hagerty, Bill; Cruz, Ted; Hyde-Smith, Cindy; Grassley, Chuck; Cassidy, Bill; Britt, Katie; Budd, Ted; Boozman, John; McConnell, Mitch; Wicker, Roger; Mullin, Markwayne; Hoeven, John; Fischer, Deb; Ernst, Joni; Ricketts, Pete; Marshall, Roger; Lankford, James; Sanders, Bernie; Thune, John","Van Hollen, Chris; Coons, Christopher; Fetterman, John; King, Angus; Casey, Bob; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Cardin, Benjamin; Cantwell, Maria; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Welch, Peter; Murkowski, Lisa; Kaine, Tim; Blumenthal, Richard; Shaheen, Jeanne; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Romney, Mitt; Tester, Jon; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Luján, Ben; Merkley, Jeff; Manchin, Joe; Young, Todd; Tillis, Thom; Sinema, Kyrsten; Heinrich, Martin; Whitehouse, Sheldon; Murphy, Christopher; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Scott, Rick; Cramer, Kevin; Warnock, Raphael; Lummis, Cynthia; Vance, J.D. (James); Risch, James; Braun, Mike"
Motion to Proceed on H.R. 815: RELIEVE Act ,"Van Hollen, Chris; Coons, Christopher; Fetterman, John; King, Angus; Rounds, Mike; Casey, Bob; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Collins, Susan; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Sullivan, Dan; Capito, Shelley; Cardin, Benjamin; Cantwell, Maria; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Welch, Peter; Murkowski, Lisa; Kaine, Tim; Blumenthal, Richard; Shaheen, Jeanne; Grassley, Chuck; Cassidy, Bill; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Romney, Mitt; Tester, Jon; McConnell, Mitch; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Wicker, Roger; Luján, Ben; Young, Todd; Tillis, Thom; Mullin, Markwayne; Merkley, Jeff; Thune, John; Sinema, Kyrsten; Manchin, Joe; Heinrich, Martin; Whitehouse, Sheldon; Murphy, Christopher; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Schmitt, Eric; Rubio, Marco; Vance, J.D. (James); Graham, Lindsey; Cotton, Tom; Crapo, Mike; Blackburn, Marsha; Hawley, Josh; Paul, Rand; Tuberville, Tommy; Scott, Tim; Lee, Mike; Britt, Katie; Boozman, John; Cramer, Kevin; Hoeven, John; Fischer, Deb; Ricketts, Pete; Sanders, Bernie","Scott, Rick; Cruz, Ted; Daines, Steve; Lummis, Cynthia; Hyde-Smith, Cindy; Johnson, Ron; Moran, Jerry; Kennedy, John Neely; Risch, James; Cornyn, John; Ernst, Joni; Braun, Mike; Marshall, Roger; Lankford, James; Barrasso, John; Budd, Ted; Hagerty, Bill"
"Upon Reconsideration, Motion to Invoke Cloture on the Motion to Proceed to H.R. 815 ","Van Hollen, Chris; Coons, Christopher; Fetterman, John; King, Angus; Rounds, Mike; Casey, Bob; Moran, Jerry; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Collins, Susan; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Sullivan, Dan; Capito, Shelley; Kennedy, John Neely; Cornyn, John; Cardin, Benjamin; Cantwell, Maria; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Welch, Peter; Murkowski, Lisa; Kaine, Tim; Blumenthal, Richard; Shaheen, Jeanne; Grassley, Chuck; Cassidy, Bill; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Romney, Mitt; Tester, Jon; McConnell, Mitch; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Wicker, Roger; Luján, Ben; Young, Todd; Tillis, Thom; Merkley, Jeff; Thune, John; Manchin, Joe; Sinema, Kyrsten; Heinrich, Martin; Whitehouse, Sheldon; Ernst, Joni; Murphy, Christopher; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Schmitt, Eric; Rubio, Marco; Vance, J.D. (James); Graham, Lindsey; Cotton, Tom; Braun, Mike; Crapo, Mike; Blackburn, Marsha; Hawley, Josh; Barrasso, John; Paul, Rand; Johnson, Ron; Tuberville, Tommy; Scott, Tim; Daines, Steve; Lee, Mike; Hagerty, Bill; Scott, Rick; Cruz, Ted; Hyde-Smith, Cindy; Risch, James; Britt, Katie; Budd, Ted; Boozman, John; Cramer, Kevin; Mullin, Markwayne; Hoeven, John; Fischer, Deb; Ricketts, Pete; Marshall, Roger; Lankford, James; Sanders, Bernie","Lummis, Cynthia"
On the Motion to Reconsider H.R. 815 ,"Van Hollen, Chris; Coons, Christopher; Fetterman, John; King, Angus; Casey, Bob; Moran, Jerry; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Collins, Susan; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Kennedy, John Neely; Cardin, Benjamin; Cantwell, Maria; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Welch, Peter; Murkowski, Lisa; Kaine, Tim; Blumenthal, Richard; Shaheen, Jeanne; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Romney, Mitt; Tester, Jon; McConnell, Mitch; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Luján, Ben; Merkley, Jeff; Young, Todd; Tillis, Thom; Manchin, Joe; Sinema, Kyrsten; Heinrich, Martin; Whitehouse, Sheldon; Murphy, Christopher; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Schmitt, Eric; Rubio, Marco; Vance, J.D. (James); Rounds, Mike; Graham, Lindsey; Cotton, Tom; Braun, Mike; Crapo, Mike; Blackburn, Marsha; Hawley, Josh; Barrasso, John; Paul, Rand; Johnson, Ron; Tuberville, Tommy; Scott, Tim; Daines, Steve; Sullivan, Dan; Capito, Shelley; Cornyn, John; Lee, Mike; Hagerty, Bill; Scott, Rick; Cruz, Ted; Hyde-Smith, Cindy; Grassley, Chuck; Risch, James; Cassidy, Bill; Britt, Katie; Budd, Ted; Boozman, John; Cramer, Kevin; Wicker, Roger; Mullin, Markwayne; Hoeven, John; Fischer, Deb; Ernst, Joni; Ricketts, Pete; Marshall, Roger; Lankford, James; Sanders, Bernie; Thune, John","Lummis, Cynthia"
Motion to Invoke Cloture: Motion to Proceed to H.R. 815 ,"Van Hollen, Chris; Coons, Christopher; Fetterman, John; King, Angus; Casey, Bob; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Booker, Cory; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Collins, Susan; Reed, Jack; Klobuchar, Amy; Cardin, Benjamin; Cantwell, Maria; Baldwin, Tammy; Peters, Gary; Welch, Peter; Murkowski, Lisa; Kaine, Tim; Blumenthal, Richard; Shaheen, Jeanne; Romney, Mitt; Carper, Thomas; Duckworth, Tammy; Tester, Jon; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Luján, Ben; Merkley, Jeff; Manchin, Joe; Sinema, Kyrsten; Heinrich, Martin; Whitehouse, Sheldon; Murphy, Christopher; Lankford, James; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Schmitt, Eric; Rubio, Marco; Vance, J.D. (James); Rounds, Mike; Moran, Jerry; Graham, Lindsey; Cotton, Tom; Braun, Mike; Crapo, Mike; Blackburn, Marsha; Hawley, Josh; Barrasso, John; Paul, Rand; Markey, Ed; Tuberville, Tommy; Johnson, Ron; Schumer, Chuck; Scott, Tim; Daines, Steve; Sullivan, Dan; Capito, Shelley; Kennedy, John Neely; Cornyn, John; Padilla, Alex; Lee, Mike; Hagerty, Bill; Scott, Rick; Cruz, Ted; Hyde-Smith, Cindy; Grassley, Chuck; Risch, James; Cassidy, Bill; Warren, Elizabeth; Menendez, Bob; Britt, Katie; Budd, Ted; Boozman, John; McConnell, Mitch; Cramer, Kevin; Wicker, Roger; Mullin, Markwayne; Young, Todd; Tillis, Thom; Hoeven, John; Fischer, Deb; Ernst, Joni; Ricketts, Pete; Marshall, Roger; Sanders, Bernie; Thune, John","Lummis, Cynthia"
"On the Nomination PN1239: Amy M. Baggio, of Oregon, to be United States District Judge for the District of Oregon ","Van Hollen, Chris; Coons, Christopher; Fetterman, John; King, Angus; Casey, Bob; Graham, Lindsey; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Collins, Susan; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Cardin, Benjamin; Cantwell, Maria; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Welch, Peter; Murkowski, Lisa; Kaine, Tim; Blumenthal, Richard; Shaheen, Jeanne; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Tester, Jon; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Luján, Ben; Merkley, Jeff; Manchin, Joe; Sinema, Kyrsten; Heinrich, Martin; Whitehouse, Sheldon; Murphy, Christopher; Sanders, Bernie; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Schmitt, Eric; Rubio, Marco; Vance, J.D. (James); Rounds, Mike; Moran, Jerry; Cotton, Tom; Braun, Mike; Crapo, Mike; Blackburn, Marsha; Hawley, Josh; Paul, Rand; Johnson, Ron; Tuberville, Tommy; Scott, Tim; Daines, Steve; Sullivan, Dan; Capito, Shelley; Kennedy, John Neely; Cornyn, John; Lee, Mike; Hagerty, Bill; Scott, Rick; Cruz, Ted; Hyde-Smith, Cindy; Grassley, Chuck; Risch, James; Cassidy, Bill; Romney, Mitt; Britt, Katie; Budd, Ted; Boozman, John; McConnell, Mitch; Cramer, Kevin; Wicker, Roger; Mullin, Markwayne; Young, Todd; Tillis, Thom; Hoeven, John; Fischer, Deb; Ernst, Joni; Ricketts, Pete; Marshall, Roger; Lankford, James; Thune, John","Lummis, Cynthia; Barrasso, John"
"Motion to Invoke Cloture: Amy M. Baggio to be U.S. District Judge for the District of Oregon: Amy M. Baggio, of Oregon, to be United States District Judge for the District of Oregon ","Van Hollen, Chris; Coons, Christopher; Fetterman, John; King, Angus; Casey, Bob; Graham, Lindsey; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Collins, Susan; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Cardin, Benjamin; Cantwell, Maria; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Welch, Peter; Murkowski, Lisa; Kaine, Tim; Blumenthal, Richard; Shaheen, Jeanne; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Tester, Jon; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Luján, Ben; Merkley, Jeff; Manchin, Joe; Sinema, Kyrsten; Heinrich, Martin; Whitehouse, Sheldon; Murphy, Christopher; Sanders, Bernie; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Schmitt, Eric; Rubio, Marco; Vance, J.D. (James); Rounds, Mike; Moran, Jerry; Cotton, Tom; Crapo, Mike; Blackburn, Marsha; Hawley, Josh; Paul, Rand; Johnson, Ron; Tuberville, Tommy; Scott, Tim; Daines, Steve; Sullivan, Dan; Capito, Shelley; Kennedy, John Neely; Cornyn, John; Lee, Mike; Hagerty, Bill; Scott, Rick; Cruz, Ted; Hyde-Smith, Cindy; Grassley, Chuck; Risch, James; Cassidy, Bill; Romney, Mitt; Britt, Katie; Budd, Ted; Boozman, John; McConnell, Mitch; Cramer, Kevin; Wicker, Roger; Mullin, Markwayne; Young, Todd; Tillis, Thom; Hoeven, John; Fischer, Deb; Ernst, Joni; Ricketts, Pete; Marshall, Roger; Lankford, James; Thune, John","Braun, Mike; Lummis, Cynthia; Barrasso, John"
