bill,yea,nay,no vote
"On the Nomination PN1113: Kurt Campbell, of the District of Columbia, to be Deputy Secretary of State ","Booker, Cory; Hickenlooper, John; Scott, Tim; Kennedy, John Neely; Cardin, Benjamin; Lee, Mike; Murkowski, Lisa; Cruz, Ted; Kaine, Tim; Hyde-Smith, Cindy; Shaheen, Jeanne; Romney, Mitt; Duckworth, Tammy; Boozman, John; Hirono, Mazie; Ossoff, Jon; Merkley, Jeff; Rosen, Jacky; Wicker, Roger; Manchin, Joe; Fischer, Deb; Heinrich, Martin; Whitehouse, Sheldon; Marshall, Roger; Butler, Laphonza; Van Hollen, Chris; Coons, Christopher; Graham, Lindsey; Hassan, Maggie; Paul, Rand; Markey, Ed; Stabenow, Debbie; Schumer, Chuck; Collins, Susan; Cantwell, Maria; Peters, Gary; Welch, Peter; Carper, Thomas; Budd, Ted; Brown, Sherrod; Luján, Ben; Young, Todd; Lankford, James; Schmitt, Eric; Rubio, Marco; Rounds, Mike; Casey, Bob; Moran, Jerry; Cotton, Tom; Cortez Masto, Catherine; Blackburn, Marsha; Bennet, Michael; Wyden, Ron; Durbin, Richard; Daines, Steve; Sullivan, Dan; Baldwin, Tammy; Padilla, Alex; Hagerty, Bill; Warren, Elizabeth; Menendez, Bob; Tester, Jon; McConnell, Mitch; Smith, Tina; Cramer, Kevin; Mullin, Markwayne; Hoeven, John; Ernst, Joni; Murphy, Christopher; Warner, Mark; Kelly, Mark; Gillibrand, Kirsten; Fetterman, John; King, Angus; Murray, Patty; Crapo, Mike; Schatz, Brian; Johnson, Ron; Reed, Jack; Klobuchar, Amy; Capito, Shelley; Cornyn, John; Blumenthal, Richard; Grassley, Chuck; Risch, James; Cassidy, Bill; Britt, Katie; Warnock, Raphael; Tillis, Thom; Sinema, Kyrsten; Ricketts, Pete; Thune, John","Scott, Rick; Vance, J.D. (James); Sanders, Bernie; Hawley, Josh; Tuberville, Tommy","Braun, Mike; Lummis, Cynthia; Barrasso, John"
"Motion to Invoke Cloture: Kurt Campbell to be Deputy Secretary of State: Kurt Campbell, of the District of Columbia, to be Deputy Secretary of State ","Booker, Cory; Hickenlooper, John; Scott, Tim; Cardin, Benjamin; Lee, Mike; Murkowski, Lisa; Cruz, Ted; Kaine, Tim; Hyde-Smith, Cindy; Shaheen, Jeanne; Duckworth, Tammy; Boozman, John; Hirono, Mazie; Ossoff, Jon; Merkley, Jeff; Rosen, Jacky; Wicker, Roger; Manchin, Joe; Fischer, Deb; Heinrich, Martin; Whitehouse, Sheldon; Marshall, Roger; Butler, Laphonza; Van Hollen, Chris; Coons, Christopher; Graham, Lindsey; Hassan, Maggie; Paul, Rand; Markey, Ed; Stabenow, Debbie; Schumer, Chuck; Collins, Susan; Cantwell, Maria; Peters, Gary; Welch, Peter; Carper, Thomas; Budd, Ted; Brown, Sherrod; Luján, Ben; Young, Todd; Lankford, James; Schmitt, Eric; Rubio, Marco; Rounds, Mike; Casey, Bob; Moran, Jerry; Cotton, Tom; Cortez Masto, Catherine; Blackburn, Marsha; Bennet, Michael; Wyden, Ron; Durbin, Richard; Daines, Steve; Sullivan, Dan; Baldwin, Tammy; Padilla, Alex; Hagerty, Bill; Warren, Elizabeth; Menendez, Bob; Tester, Jon; McConnell, Mitch; Smith, Tina; Cramer, Kevin; Mullin, Markwayne; Hoeven, John; Ernst, Joni; Murphy, Christopher; Warner, Mark; Kelly, Mark; Gillibrand, Kirsten; Fetterman, John; King, Angus; Murray, Patty; Crapo, Mike; Schatz, Brian; Johnson, Ron; Reed, Jack; Klobuchar, Amy; Capito, Shelley; Cornyn, John; Blumenthal, Richard; Grassley, Chuck; Risch, James; Cassidy, Bill; Britt, Katie; Warnock, Raphael; Tillis, Thom; Sinema, Kyrsten; Ricketts, Pete; Thune, John","Scott, Rick; Vance, J.D. (James); Kennedy, John Neely; Hawley, Josh; Tuberville, Tommy","Lummis, Cynthia; Braun, Mike; Romney, Mitt; Sanders, Bernie; Barrasso, John"
"On the Nomination PN1247: Joseph Albert Laroski, Jr., of Maryland, to be a Judge of the United States Court of International Trade ","Van Hollen, Chris; Coons, Christopher; Schmitt, Eric; King, Angus; Vance, J.D. (James); Rounds, Mike; Casey, Bob; Graham, Lindsey; Cotton, Tom; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Crapo, Mike; Bennet, Michael; Schatz, Brian; Paul, Rand; Markey, Ed; Tuberville, Tommy; Booker, Cory; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Collins, Susan; Schumer, Chuck; Reed, Jack; Scott, Tim; Klobuchar, Amy; Kennedy, John Neely; Cardin, Benjamin; Cantwell, Maria; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Hagerty, Bill; Lee, Mike; Welch, Peter; Murkowski, Lisa; Scott, Rick; Kaine, Tim; Hyde-Smith, Cindy; Blumenthal, Richard; Shaheen, Jeanne; Grassley, Chuck; Johnson, Ron; Menendez, Bob; Carper, Thomas; Britt, Katie; Duckworth, Tammy; Tester, Jon; Boozman, John; McConnell, Mitch; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Wicker, Roger; Luján, Ben; Young, Todd; Mullin, Markwayne; Merkley, Jeff; Hoeven, John; Thune, John; Sinema, Kyrsten; Fischer, Deb; Heinrich, Martin; Whitehouse, Sheldon; Ernst, Joni; Murphy, Christopher; Marshall, Roger; Lankford, James; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark",,"Fetterman, John; Rubio, Marco; Moran, Jerry; Braun, Mike; Blackburn, Marsha; Hawley, Josh; Barrasso, John; Hickenlooper, John; Daines, Steve; Sullivan, Dan; Capito, Shelley; Cornyn, John; Cruz, Ted; Lummis, Cynthia; Cassidy, Bill; Risch, James; Warren, Elizabeth; Romney, Mitt; Budd, Ted; Cramer, Kevin; Manchin, Joe; Tillis, Thom; Ricketts, Pete; Sanders, Bernie"
"On the Nomination PN1257: Lisa W. Wang, of the District of Columbia, to be a Judge of the United States Court of International Trade ","Van Hollen, Chris; Coons, Christopher; Vance, J.D. (James); King, Angus; Fetterman, John; Casey, Bob; Graham, Lindsey; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Wyden, Ron; Durbin, Richard; Collins, Susan; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Cardin, Benjamin; Cantwell, Maria; Baldwin, Tammy; Padilla, Alex; Welch, Peter; Murkowski, Lisa; Kaine, Tim; Blumenthal, Richard; Shaheen, Jeanne; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Tester, Jon; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Luján, Ben; Merkley, Jeff; Manchin, Joe; Sinema, Kyrsten; Heinrich, Martin; Whitehouse, Sheldon; Murphy, Christopher; Sanders, Bernie; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Schmitt, Eric; Rubio, Marco; Rounds, Mike; Moran, Jerry; Cotton, Tom; Braun, Mike; Crapo, Mike; Blackburn, Marsha; Hawley, Josh; Paul, Rand; Johnson, Ron; Tuberville, Tommy; Scott, Tim; Daines, Steve; Sullivan, Dan; Capito, Shelley; Kennedy, John Neely; Cornyn, John; Lee, Mike; Hagerty, Bill; Scott, Rick; Lummis, Cynthia; Hyde-Smith, Cindy; Grassley, Chuck; Risch, James; Cassidy, Bill; Romney, Mitt; Britt, Katie; Budd, Ted; Boozman, John; McConnell, Mitch; Cramer, Kevin; Wicker, Roger; Mullin, Markwayne; Young, Todd; Tillis, Thom; Hoeven, John; Fischer, Deb; Ernst, Joni; Ricketts, Pete; Lankford, James; Thune, John","Cruz, Ted; Marshall, Roger; Barrasso, John; Peters, Gary; Stabenow, Debbie"
"Motion to Invoke Cloture: Joseph Albert Laroski to be a Judge of the U.S. Court of International Trade: Joseph Albert Laroski, Jr., of Maryland, to be a Judge of the United States Court of International Trade ","Braun, Mike; Booker, Cory; Hickenlooper, John; Scott, Tim; Kennedy, John Neely; Cardin, Benjamin; Lee, Mike; Murkowski, Lisa; Cruz, Ted; Kaine, Tim; Hyde-Smith, Cindy; Shaheen, Jeanne; Romney, Mitt; Duckworth, Tammy; Boozman, John; Hirono, Mazie; Ossoff, Jon; Merkley, Jeff; Rosen, Jacky; Wicker, Roger; Manchin, Joe; Fischer, Deb; Heinrich, Martin; Whitehouse, Sheldon; Marshall, Roger; Butler, Laphonza; Van Hollen, Chris; Coons, Christopher; Graham, Lindsey; Hassan, Maggie; Hawley, Josh; Paul, Rand; Markey, Ed; Schumer, Chuck; Collins, Susan; Cantwell, Maria; Welch, Peter; Scott, Rick; Carper, Thomas; Budd, Ted; Brown, Sherrod; Luján, Ben; Thune, John; Young, Todd; Lankford, James; Sanders, Bernie; Schmitt, Eric; Rubio, Marco; Rounds, Mike; Casey, Bob; Moran, Jerry; Cotton, Tom; Cortez Masto, Catherine; Blackburn, Marsha; Bennet, Michael; Wyden, Ron; Durbin, Richard; Daines, Steve; Sullivan, Dan; Baldwin, Tammy; Padilla, Alex; Hagerty, Bill; Warren, Elizabeth; Menendez, Bob; Tester, Jon; McConnell, Mitch; Smith, Tina; Cramer, Kevin; Mullin, Markwayne; Hoeven, John; Ernst, Joni; Murphy, Christopher; Warner, Mark; Kelly, Mark; Fetterman, John; Vance, J.D. (James); King, Angus; Murray, Patty; Crapo, Mike; Schatz, Brian; Johnson, Ron; Tuberville, Tommy; Reed, Jack; Klobuchar, Amy; Capito, Shelley; Cornyn, John; Lummis, Cynthia; Blumenthal, Richard; Grassley, Chuck; Risch, James; Cassidy, Bill; Britt, Katie; Warnock, Raphael; Tillis, Thom; Sinema, Kyrsten; Ricketts, Pete; Gillibrand, Kirsten",,"Peters, Gary; Stabenow, Debbie; Barrasso, John"
"Motion to Invoke Cloture: Lisa W. Wang to be a Judge of the U.S. Court of International Trade: Lisa W. Wang, of the District of Columbia, to be a Judge of the United States Court of International Trade ","Van Hollen, Chris; Coons, Christopher; Vance, J.D. (James); King, Angus; Fetterman, John; Casey, Bob; Graham, Lindsey; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Wyden, Ron; Durbin, Richard; Collins, Susan; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Cardin, Benjamin; Cantwell, Maria; Baldwin, Tammy; Padilla, Alex; Welch, Peter; Murkowski, Lisa; Kaine, Tim; Blumenthal, Richard; Shaheen, Jeanne; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Tester, Jon; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Luján, Ben; Merkley, Jeff; Manchin, Joe; Sinema, Kyrsten; Heinrich, Martin; Whitehouse, Sheldon; Murphy, Christopher; Sanders, Bernie; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Schmitt, Eric; Rubio, Marco; Rounds, Mike; Moran, Jerry; Cotton, Tom; Braun, Mike; Crapo, Mike; Blackburn, Marsha; Hawley, Josh; Paul, Rand; Johnson, Ron; Tuberville, Tommy; Scott, Tim; Daines, Steve; Sullivan, Dan; Capito, Shelley; Kennedy, John Neely; Cornyn, John; Lee, Mike; Hagerty, Bill; Scott, Rick; Cruz, Ted; Lummis, Cynthia; Hyde-Smith, Cindy; Grassley, Chuck; Risch, James; Cassidy, Bill; Romney, Mitt; Britt, Katie; Budd, Ted; Boozman, John; McConnell, Mitch; Cramer, Kevin; Wicker, Roger; Mullin, Markwayne; Young, Todd; Tillis, Thom; Fischer, Deb; Ernst, Joni; Ricketts, Pete; Marshall, Roger; Lankford, James; Thune, John","Hoeven, John; Peters, Gary; Stabenow, Debbie; Barrasso, John"
"On the Nomination PN119: Joseph Goffman, of Pennsylvania, to be an Assistant Administrator of the Environmental Protection Agency ","Van Hollen, Chris; Coons, Christopher; Fetterman, John; King, Angus; Casey, Bob; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Cardin, Benjamin; Cantwell, Maria; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Welch, Peter; Kaine, Tim; Blumenthal, Richard; Shaheen, Jeanne; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Tester, Jon; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Luján, Ben; Merkley, Jeff; Sinema, Kyrsten; Heinrich, Martin; Whitehouse, Sheldon; Murphy, Christopher; Sanders, Bernie; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Schmitt, Eric; Rubio, Marco; Vance, J.D. (James); Rounds, Mike; Moran, Jerry; Graham, Lindsey; Cotton, Tom; Braun, Mike; Crapo, Mike; Blackburn, Marsha; Hawley, Josh; Paul, Rand; Johnson, Ron; Tuberville, Tommy; Scott, Tim; Collins, Susan; Daines, Steve; Sullivan, Dan; Capito, Shelley; Kennedy, John Neely; Cornyn, John; Lee, Mike; Hagerty, Bill; Murkowski, Lisa; Scott, Rick; Cruz, Ted; Lummis, Cynthia; Hyde-Smith, Cindy; Grassley, Chuck; Risch, James; Cassidy, Bill; Romney, Mitt; Britt, Katie; Budd, Ted; Boozman, John; McConnell, Mitch; Cramer, Kevin; Wicker, Roger; Mullin, Markwayne; Manchin, Joe; Young, Todd; Tillis, Thom; Hoeven, John; Fischer, Deb; Ernst, Joni; Ricketts, Pete; Marshall, Roger; Lankford, James; Thune, John","Barrasso, John"
"Motion to Invoke Cloture: Joseph Goffman to be an Assistant Administrator of the Environmental Protection Agency: Joseph Goffman, of Pennsylvania, to be an Assistant Administrator of the Environmental Protection Agency ","Van Hollen, Chris; Coons, Christopher; Fetterman, John; King, Angus; Casey, Bob; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Cardin, Benjamin; Cantwell, Maria; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Welch, Peter; Kaine, Tim; Blumenthal, Richard; Shaheen, Jeanne; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Tester, Jon; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Luján, Ben; Merkley, Jeff; Sinema, Kyrsten; Heinrich, Martin; Whitehouse, Sheldon; Murphy, Christopher; Sanders, Bernie; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Schmitt, Eric; Rubio, Marco; Vance, J.D. (James); Rounds, Mike; Moran, Jerry; Graham, Lindsey; Cotton, Tom; Braun, Mike; Crapo, Mike; Blackburn, Marsha; Hawley, Josh; Paul, Rand; Johnson, Ron; Tuberville, Tommy; Scott, Tim; Collins, Susan; Daines, Steve; Sullivan, Dan; Capito, Shelley; Kennedy, John Neely; Cornyn, John; Lee, Mike; Hagerty, Bill; Murkowski, Lisa; Scott, Rick; Cruz, Ted; Lummis, Cynthia; Hyde-Smith, Cindy; Grassley, Chuck; Risch, James; Cassidy, Bill; Romney, Mitt; Britt, Katie; Budd, Ted; Boozman, John; McConnell, Mitch; Cramer, Kevin; Wicker, Roger; Mullin, Markwayne; Manchin, Joe; Young, Todd; Tillis, Thom; Hoeven, John; Fischer, Deb; Ernst, Joni; Ricketts, Pete; Marshall, Roger; Lankford, James; Thune, John","Barrasso, John"
"On the Nomination PN816: Karoline Mehalchick, of Pennsylvania, to be United States District Judge for the Middle District of Pennsylvania ","Van Hollen, Chris; Coons, Christopher; Fetterman, John; King, Angus; Casey, Bob; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Cardin, Benjamin; Cantwell, Maria; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Welch, Peter; Kaine, Tim; Blumenthal, Richard; Shaheen, Jeanne; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Tester, Jon; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Luján, Ben; Merkley, Jeff; Sinema, Kyrsten; Heinrich, Martin; Whitehouse, Sheldon; Murphy, Christopher; Sanders, Bernie; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Schmitt, Eric; Rubio, Marco; Vance, J.D. (James); Rounds, Mike; Moran, Jerry; Graham, Lindsey; Cotton, Tom; Braun, Mike; Crapo, Mike; Blackburn, Marsha; Hawley, Josh; Paul, Rand; Johnson, Ron; Tuberville, Tommy; Scott, Tim; Collins, Susan; Daines, Steve; Sullivan, Dan; Capito, Shelley; Kennedy, John Neely; Cornyn, John; Lee, Mike; Hagerty, Bill; Murkowski, Lisa; Scott, Rick; Cruz, Ted; Lummis, Cynthia; Hyde-Smith, Cindy; Grassley, Chuck; Risch, James; Cassidy, Bill; Romney, Mitt; Britt, Katie; Budd, Ted; Boozman, John; McConnell, Mitch; Cramer, Kevin; Wicker, Roger; Mullin, Markwayne; Manchin, Joe; Young, Todd; Tillis, Thom; Hoeven, John; Fischer, Deb; Ernst, Joni; Ricketts, Pete; Marshall, Roger; Lankford, James; Thune, John","Barrasso, John"
"Motion to Invoke Cloture: Karoline Mehalchick to be U.S. District Judge for the Middle District of Pennsylvania: Karoline Mehalchick, of Pennsylvania, to be United States District Judge for the Middle District of Pennsylvania ","Van Hollen, Chris; Coons, Christopher; Fetterman, John; King, Angus; Casey, Bob; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Cardin, Benjamin; Cantwell, Maria; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Welch, Peter; Kaine, Tim; Blumenthal, Richard; Shaheen, Jeanne; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Tester, Jon; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Luján, Ben; Merkley, Jeff; Sinema, Kyrsten; Heinrich, Martin; Whitehouse, Sheldon; Murphy, Christopher; Sanders, Bernie; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Schmitt, Eric; Rubio, Marco; Vance, J.D. (James); Rounds, Mike; Moran, Jerry; Graham, Lindsey; Cotton, Tom; Braun, Mike; Crapo, Mike; Blackburn, Marsha; Hawley, Josh; Paul, Rand; Johnson, Ron; Tuberville, Tommy; Scott, Tim; Collins, Susan; Daines, Steve; Sullivan, Dan; Capito, Shelley; Kennedy, John Neely; Cornyn, John; Lee, Mike; Hagerty, Bill; Murkowski, Lisa; Scott, Rick; Cruz, Ted; Lummis, Cynthia; Hyde-Smith, Cindy; Grassley, Chuck; Risch, James; Cassidy, Bill; Romney, Mitt; Britt, Katie; Budd, Ted; Boozman, John; McConnell, Mitch; Cramer, Kevin; Wicker, Roger; Mullin, Markwayne; Manchin, Joe; Young, Todd; Tillis, Thom; Hoeven, John; Fischer, Deb; Ernst, Joni; Ricketts, Pete; Marshall, Roger; Lankford, James; Thune, John","Barrasso, John"
"On the Nomination PN1255: Kirk Edward Sherriff, of California, to be United States District Judge for the Eastern District of California ","Van Hollen, Chris; Coons, Christopher; Fetterman, John; King, Angus; Casey, Bob; Graham, Lindsey; Murray, Patty; Hassan, Maggie; Cortez Masto, Catherine; Bennet, Michael; Schatz, Brian; Hickenlooper, John; Markey, Ed; Booker, Cory; Stabenow, Debbie; Wyden, Ron; Durbin, Richard; Collins, Susan; Schumer, Chuck; Reed, Jack; Klobuchar, Amy; Cardin, Benjamin; Cantwell, Maria; Baldwin, Tammy; Padilla, Alex; Peters, Gary; Welch, Peter; Murkowski, Lisa; Kaine, Tim; Blumenthal, Richard; Shaheen, Jeanne; Warren, Elizabeth; Menendez, Bob; Carper, Thomas; Duckworth, Tammy; Tester, Jon; Hirono, Mazie; Ossoff, Jon; Brown, Sherrod; Smith, Tina; Rosen, Jacky; Warnock, Raphael; Luján, Ben; Merkley, Jeff; Manchin, Joe; Sinema, Kyrsten; Heinrich, Martin; Whitehouse, Sheldon; Murphy, Christopher; Sanders, Bernie; Warner, Mark; Butler, Laphonza; Gillibrand, Kirsten; Kelly, Mark","Schmitt, Eric; Rubio, Marco; Vance, J.D. (James); Rounds, Mike; Moran, Jerry; Cotton, Tom; Braun, Mike; Crapo, Mike; Blackburn, Marsha; Hawley, Josh; Paul, Rand; Johnson, Ron; Tuberville, Tommy; Scott, Tim; Daines, Steve; Sullivan, Dan; Capito, Shelley; Kennedy, John Neely; Cornyn, John; Lee, Mike; Hagerty, Bill; Scott, Rick; Cruz, Ted; Lummis, Cynthia; Hyde-Smith, Cindy; Grassley, Chuck; Risch, James; Cassidy, Bill; Romney, Mitt; Britt, Katie; Budd, Ted; Boozman, John; McConnell, Mitch; Cramer, Kevin; Wicker, Roger; Mullin, Markwayne; Young, Todd; Tillis, Thom; Hoeven, John; Fischer, Deb; Ernst, Joni; Ricketts, Pete; Marshall, Roger; Lankford, James; Thune, John","Barrasso, John"
